title,company,location,link
Data Scientist,"Koniag, Inc.",대한민국,https://kr.indeed.com/viewjob?jk=193bfe67eed05c31
[개발]Python 백엔드 개발자(정규직),위메프,대한민국,https://kr.indeed.com/viewjob?jk=a4946f6098077a45
데이터 엔지니어,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=f3fdca21123cbf1a
"자동화사업부 소프트웨어팀(open,C++,Python,영상, 비젼)충원함",엠코프,서울특별시,https://kr.indeed.com/viewjob?jk=152d5de499417839
"Design Consultant, Staff",Synopsys,대한민국,https://kr.indeed.com/viewjob?jk=65c4c2209aa2d9f2
Korea Structuring Junior,Credit Suisse,대한민국,https://kr.indeed.com/viewjob?jk=bd2ac72a81296d15
2020년도 국비기술교육생,대한상공회의소 광주인력개발원,광주 광산구,https://kr.indeed.com/viewjob?jk=09682af104f3eaac
"전지사업본부 경력사원 (R&D, Digital Transformation, 사업개발 분야)",LG화학,대전 유성구,https://kr.indeed.com/viewjob?jk=92335c6c1f4359cd
Data Scientist,이베이 코리아,대한민국,https://kr.indeed.com/viewjob?jk=a000c1253a31fe78
보훈대상자 인재 채용,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=dfcb86f156623e5c
신한AI 인공지능(AI) 인력,신한에이아이,서울 영등포구,https://kr.indeed.com/viewjob?jk=cef1451cb206ab1a
Process & Data Scientist,Applied Materials Inc.,대한민국,https://kr.indeed.com/viewjob?jk=e56ad55002666f4c
Infra사업본부 Bigdata 프로젝트 개발자 件,SK 네트웍스서비스,경기도,https://kr.indeed.com/viewjob?jk=2cff377c899798fc
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
데이터 엔지니어,리디,서울특별시,https://kr.indeed.com/viewjob?jk=1937ebb0ea172f08
Data Scientist,"Koniag, Inc.",대한민국,https://kr.indeed.com/viewjob?jk=193bfe67eed05c31
[개발]Python 백엔드 개발자(정규직),위메프,대한민국,https://kr.indeed.com/viewjob?jk=a4946f6098077a45
데이터 엔지니어,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=f3fdca21123cbf1a
"자동화사업부 소프트웨어팀(open,C++,Python,영상, 비젼)충원함",엠코프,서울특별시,https://kr.indeed.com/viewjob?jk=152d5de499417839
"Design Consultant, Staff",Synopsys,대한민국,https://kr.indeed.com/viewjob?jk=65c4c2209aa2d9f2
Korea Structuring Junior,Credit Suisse,대한민국,https://kr.indeed.com/viewjob?jk=bd2ac72a81296d15
2020년도 국비기술교육생,대한상공회의소 광주인력개발원,광주 광산구,https://kr.indeed.com/viewjob?jk=09682af104f3eaac
"전지사업본부 경력사원 (R&D, Digital Transformation, 사업개발 분야)",LG화학,대전 유성구,https://kr.indeed.com/viewjob?jk=92335c6c1f4359cd
Data Scientist,이베이 코리아,대한민국,https://kr.indeed.com/viewjob?jk=a000c1253a31fe78
보훈대상자 인재 채용,네오위즈,대한민국,https://kr.indeed.com/viewjob?jk=dfcb86f156623e5c
신한AI 인공지능(AI) 인력,신한에이아이,서울 영등포구,https://kr.indeed.com/viewjob?jk=cef1451cb206ab1a
Process & Data Scientist,Applied Materials Inc.,대한민국,https://kr.indeed.com/viewjob?jk=e56ad55002666f4c
Infra사업본부 Bigdata 프로젝트 개발자 件,SK 네트웍스서비스,경기도,https://kr.indeed.com/viewjob?jk=2cff377c899798fc
Developer / Designer recruit,마이뮤직테이스트,서울 논현동,https://kr.indeed.com/viewjob?jk=55a19c92c845685e
데이터 엔지니어,리디,서울특별시,https://kr.indeed.com/viewjob?jk=1937ebb0ea172f08
